timestamp,event_id,event_type,data
2026-03-25T18:13:32.717315,568172,ping,"{""title"":""EMAX"",""comment"":"""",""ota"":true,""log"":true,""lang"":""en""}"
2026-03-25T18:13:32.717715,,state,"{""name_id"":""binary_sensor/binary_switch_1"",""id"":""binary_sensor-binary_switch_1"",""domain"":""binary_sensor"",""name"":""binary_switch_1"",""icon"":"""",""entity_category"":0,""value"":false,""state"":""OFF""}"
2026-03-25T18:13:32.757524,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""domain"":""sensor"",""name"":""BL0937 Voltage"",""icon"":"""",""entity_category"":0,""value"":233.0569,""state"":""233.06 V"",""uom"":""V""}"
2026-03-25T18:13:32.761366,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""domain"":""sensor"",""name"":""BL0937 Current"",""icon"":"""",""entity_category"":0,""value"":0.018099,""state"":""0.018 A"",""uom"":""A""}"
2026-03-25T18:13:32.761466,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""domain"":""sensor"",""name"":""BL0937 Power"",""icon"":"""",""entity_category"":0,""value"":1.676995,""state"":""1.68 W"",""uom"":""W""}"
2026-03-25T18:13:32.793053,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""domain"":""sensor"",""name"":""BL0937 Energy"",""icon"":"""",""entity_category"":0,""value"":0.122692,""state"":""0.1 Wh"",""uom"":""Wh""}"
2026-03-25T18:13:32.793147,,state,"{""name_id"":""sensor/WiFi Signal Sensor"",""id"":""sensor-wifi_signal_sensor"",""domain"":""sensor"",""name"":""WiFi Signal Sensor"",""icon"":"""",""entity_category"":2,""value"":-47,""state"":""-47 dBm"",""uom"":""dBm""}"
2026-03-25T18:13:32.793196,,state,"{""name_id"":""sensor/Detected Device Type"",""id"":""sensor-detected_device_type"",""domain"":""sensor"",""name"":""Detected Device Type"",""icon"":"""",""entity_category"":0,""value"":0,""state"":""0""}"
2026-03-25T18:13:32.816963,,state,"{""name_id"":""sensor/Startup Peak Current"",""id"":""sensor-startup_peak_current"",""domain"":""sensor"",""name"":""Startup Peak Current"",""icon"":"""",""entity_category"":0,""value"":0,""state"":""0.00 A"",""uom"":""A""}"
2026-03-25T18:13:32.817073,,state,"{""name_id"":""sensor/Startup Duration"",""id"":""sensor-startup_duration"",""domain"":""sensor"",""name"":""Startup Duration"",""icon"":"""",""entity_category"":0,""value"":0,""state"":""0 ms"",""uom"":""ms""}"
2026-03-25T18:13:32.848623,,state,"{""name_id"":""sensor/Steady State Power"",""id"":""sensor-steady_state_power"",""domain"":""sensor"",""name"":""Steady State Power"",""icon"":"""",""entity_category"":0,""value"":0,""state"":""0.0 W"",""uom"":""W""}"
2026-03-25T18:13:32.848765,,state,"{""name_id"":""sensor/Current Signal Variance"",""id"":""sensor-current_signal_variance"",""domain"":""sensor"",""name"":""Current Signal Variance"",""icon"":"""",""entity_category"":0,""value"":0,""state"":""0.0000 AÂ²"",""uom"":""AÂ²""}"
2026-03-25T18:13:32.885511,,state,"{""name_id"":""sensor/Phantom Power Draw"",""id"":""sensor-phantom_power_draw"",""domain"":""sensor"",""name"":""Phantom Power Draw"",""icon"":"""",""entity_category"":0,""value"":0,""state"":""0.00 W"",""uom"":""W""}"
